video_link,video_views,video_title,channel_url,creator_name,creator_gender,total_channel_subcribers,total_channel_views,duration_of_video,duration_in_seconds,date_of_video_upload,no_of_likes,language_of_the_video,subtitle,video_description,hashtags,no_of_comments,date_of_the_last_comment,maximum_quality_of_the_video,no_of_videos_the_channel,no_of_playlist,premiered_or_not,community_engagement_(posts_per_week),intern_who_collected_the_data,duration_in_minutes,upload_year,upload_month,upload_weekday,length_category
https://www.youtube.com/watch?v=k6pTulbKhcw,49248564,Chhota Bheem - Adla Badli,Green Gold TV - Official Channel - YouTube,Green Gold TV,Company,18700000,9094477174,00:10:21,621,2020-06-22,315000,Hindi,no,Yes,0,0,2020-06-22,1080p,1105,60,No,0,Rahul Singh,10,2020,June,Monday,Short
https://www.youtube.com/watch?v=k9WqpQp8VSU,3419385,How I Would Learn To Code (If I Could Start Over),https://www.youtube.com/c/NamanhKapur,Namanh Kapur,Male,105000,5731855,00:13:42,822,2022-04-16,164000,English,yes,Yes,5,3988,2022-04-16,2160p,35,7,No,0,prateek,14,2022,April,Saturday,Medium
https://www.youtube.com/watch?v=kd3CO78fpTQ,61,Tesla Model 3 interior protection accessories collection,Tesery - Tesla Accessories Review - YouTube,Tesery,Company,242,6261,00:20:58,1258,2022-09-14,1,English,yes,Yes,3,1,2022-09-14,1440p,75,9,Yes,0,Rahul Singh,21,2022,September,Wednesday,Medium
https://www.youtube.com/watch?v=kDcn3JHcHLY,3284,Why Everyone Needs To Be Learning About Data In 2022,https://www.youtube.com/c/MavenAnalytics,Chris Dutton,Male,793000,130516,00:03:05,185,2022-07-02,118,English,yes,Yes,0,10,2022-07-02,1080p,134,12,No,0,Syed safdar,3,2022,July,Saturday,Short
https://www.youtube.com/watch?v=kDLpsXpCZoE,356883,Worlds Most Powerful Car,Supercar Blondie - YouTube,Alex Hirschi,Female,97000000,1996301312,00:08:24,504,2022-09-12,12000,English,yes,Yes,0,1783,2022-09-12,1080p,592,26,No,2,Rahul Singh,8,2022,September,Monday,Short
https://www.youtube.com/watch?v=KKnhgkmV7k8,1957000,PRINTING ENGINEERING | Standup Comedy by Samay Raina,https://www.youtube.com/c/SamayRainaOfficial,Samay Raina,Male,1020000,287647535,00:01:54,114,2022-11-09,154000,Hindi,no,Yes,0,2795,2022-11-09,2160p,693,19,Yes,0,prateek,2,2022,November,Wednesday,Supershort
https://www.youtube.com/watch?v=kMA5zXLd5uU,635363,Touring a 54th Floor New York City PENTHOUSE,Enes Yilmazer - YouTube,Enes Yilmazer,Male,27200000,447952948,00:15:17,917,2022-09-20,15000,English,yes,Yes,0,1087,2022-09-20,2160p,197,13,No,0,Rahul Singh,15,2022,September,Tuesday,Medium
https://www.youtube.com/watch?v=ko_4V5vAxfk,5201,Mountain of death ghat | kolli hills,https://www.youtube.com/c/DukeGiri,Duke Giri,Male,27300,3120545,00:20:39,1239,2022-09-15,321000,Kannada,no,Yes,0,5,2022-09-15,1080p,219,2,No,0,Akhil Teja,21,2022,September,Thursday,Medium
https://www.youtube.com/watch?v=kqx2NF7PmIU,875110,Ford Mustang Production in the USA,https://www.youtube.com/channel/UC3fFzCYq5devEJ8k2FRuEtQ,CAR CHANNEL,Company,59600,21565029,00:10:59,659,2022-07-03,11000,English,no,Yes,2,779,2022-07-03,1080p,580,8,No,0,Syed safdar,11,2022,July,Sunday,Medium
https://www.youtube.com/watch?v=kvASlkQ8rM8,11441102,Husband Sothanaigal 3 | comedy | Micset,https://www.youtube.com/c/MicSet_official,Sri Ram,Male,7610000,457011932,00:11:16,676,2021-12-23,489000,Tamil,yes,Yes,0,8131,2021-12-23,1080p,44,6,No,3,Thinesh,11,2021,December,Thursday,Medium
